,76d,0,0,1,0,0,,1001,5001,ff,StartDiagnosticSession.DefaultSession,
,76d,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.ProgrammingSession,
,76d,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.ExtendedDiagnosticSession,
,76d,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All,
,76d,16,23,1,0,0,,1901FF,5901FF,ff,DTCStatusAvailabilityMask,
,76d,24,31,1,0,0,,1901FF,5901FF,ff,DTCFormatIdentifier,
,76d,32,47,1,0,0,,1901FF,5901FF,ff,DTCCount,
,76d,16,23,1,0,0,,1902FF,5902FF,ff,DTCStatusAvailabilityMask,
,76d,24,39,1,0,0,,1902FF,5902FF,ff,DTCDeviceIdentifier,37492:BACK_LIT_REAR_PLATE;37505:BATT1_VOLTAGE_SENSE;37506:BATT2_VOLTAGE_SENSE;37507:BATT3_VOLTAGE_SENSE;37508:BATT4_VOLTAGE_SENSE;37415:CAN1;37488:COMBI_SWITCH;37390:ECU_EMM;37400:HIGH_BEAM_LEFT;37401:HIGH_BEAM_RIGHT;37536:LCM01;37537:LCM02;37538:LCM03;37539:LCM04;37540:LCM05;37541:LCM06;37542:LCM07;37543:LCM08;37544:LCM09;37545:LCM10;37552:LCM11;37553:LCM12;37441:LEFT_DTRL;37510:LEFT_LED_LOW_BEAM;37394:LEFT_LOW_BEAM;37377:LEVELLING_FT_SSR;37595:LEVELLING_INIT_FAILED;37392:LEVELLING_MAN_SWITCH;37376:LEVELLING_PWR_SSR;37378:LEVELLING_RR_SSR;37402:LIGHT_FRONT_LEFT_FOG;37462:LIGHT_FRONT_RIGHT_FOG;37379:LIN_AMBIANT;37409:LIN_RLS;37493:LOAD_SPARE_4;37383:LVL_ANALOG_CMD;37396:POSTION_LIGHT_LH;37463:POSTION_LIGHT_RIGHT;37405:PWR_WIPER;37430:RAIN_LIGHT_SENSOR;37489:REAR_FOG_LAMP;37425:RIGHT_DTRL;37511:RIGHT_LED_LOW_BEAM;37395:RIGHT_LOW_BEAM;37432:WIPER_MOTOR
,76d,40,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType,68:data memory failure;98:signal compare failure;99:circuit / component protection time-out;100:signal plausibility failure;101:signal has too few transitions / events;97:signal calculation failure;103:signal incorrect after event;81:not programmed;113:actuator stuck;114:actuator stuck open;69:program memory failure;85:not configured;84:missing calibration;82:not activated;75:over temperature;74:incorrect component installed;73:internal electronic failure;72:supervision software failure;71:watchdog / safety µC failure;70:calibration / parameter memory failure;115:actuator stuck closed;135:missing message;83:deactivated;67:special memory failure;152:component or system over temperature;151:Component or system operation obstructed or blocked;150:component internal failure;149:incorrect assembly;148:unexpected operation;147:no operation;146:performance or incorrect operation;145:parametric;143:erratic;136:bus off;133:signal above allowable range;134:signal invalid;116:actuator slipping;132:signal below allowable range;131:value of signal protection calculation incorrect;130:alive / sequence counter incorrect / not updated;129:invalid serial data received;123:low fluid level;122:fluid leak or seal failure;121:mechanical linkage failure;120:alignment or adjustment incorrect;119:commanded position not reachable;118:wrong mounting position;117:emergency position not reachable;102:signal has too many transitions / events;15:Vehicle manufacturer / System supplier specific;27:circuit resistance above threshold;26:circuit resistance below threshold;25:circuit current above threshold;24:circuit current below threshold;23:circuit voltage above threshold;22:circuit voltage below threshold;21:circuit short to battery or open;20:circuit short to ground or open;19:circuit open;28:circuit voltage out of range;17:circuit short to ground;9:Component Failures;8:Bus Signal / Message Failures;6:Algorithm Based Failures;5:System Programming Failures;4:System Internal Failures;3:FM (Frequency Modulated) / PWM (Pulse Width Modulated) Failures;2:General signal failure;1:General Electrical Failure;0:Device and failure type ODB codding/ General Failure Information;66:general memory failure;104:event information;18:circuit short to battery;53:signal high time > maximum;65:general checksum failure;58:incorrect has too many pulses;7:Mechanical Failures;29:circuit current out of range;57:incorrect has too few pulses;56:signal frequency incorrect;54:signal frequency too low;52:signal high time < minimum;51:signal low time > maximum;50:signal low time < minimum;49:no signal;37:signal shape / waveform failure;33:signal amplitude < minimum;55:signal frequency too high;47:signal erratic;31:circuit intermittent;35:signal stuck low;36:signal stuck high;34:signal amplitude > maximum;30:circuit resistance out of range;38:signal rate of change below threshold;39:signal rate of change above threshold;40:signal bias level out of range / zero adjustment failure;41:signal signal invalid
