,77d,0,0,1,0,0,,1001,5001,ff,StartDiagnosticSession.Default,
,77d,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.Programming,
,77d,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.ExtendedDiagnostic,
,77d,0,0,1,0,0,,1060,5060,ff,StartDiagnosticSession.Supplier,
,77d,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All,
,77d,16,23,1,0,0,,1901FF,5901FF,ff,DTCStatusAvailabilityMask,
,77d,24,31,1,0,0,,1901FF,5901FF,ff,DTCFormatIdentifier,0:SAE_J2012-DA_DTC;1:ISO_14229-1_DTC;2:SAE_J1939-73_DTC;3:ISO_11992-4_DTC;4:SAE_J2012-DA_WWHOBD_DTC
,77d,32,47,1,0,0,,1901FF,5901FF,ff,DTCCount,
,77d,16,23,1,0,0,,1902FF,5902FF,ff,DTCStatusAvailabilityMask,
,77d,24,39,1,0,0,,1902FF,5902FF,ff,DTCDeviceAndFailureTypeOBD,
,77d,40,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType,0:Device and failure type ODB codding;1:General Electrical Failure;2:General signal failure;3:FM / PWM (Pulse Width Modulated) Failures;4:System Internal Failures;5:System Programming Failures;6:Algorithm Based Failures;7:Mechanical Failures;8:Bus Signal / Message Failures;9:Component Failures;17:circuit short to ground;18:circuit short to battery;19:circuit open;20:circuit short to ground or open;21:circuit short to battery or open;22:circuit voltage below threshold;23:circuit voltage above threshold;24:circuit current below threshold;25:circuit current above threshold;26:circuit resistance below threshold;27:circuit resistance above threshold;28:circuit voltage out of range;29:circuit current out of range;30:circuit resistance out of range;31:circuit intermittent;33:signal amplitude < minimum;34:signal amplitude > maximum;35:signal stuck low;36:signal stuck high;37:signal shape / waveform failure;38:signal rate of change below threshold;39:signal rate of change above threshold;40:signal bias level out of range / zero adj. failure;41:signal signal invalid;47:signal erratic;49:no signal;50:signal low time < minimum;51:signal low time > maximum;52:signal high time < minimum;53:signal high time > maximum;54:signal frequency too low;55:signal frequency too high;56:signal frequency incorrect;57:incorrect has too few pulses;58:incorrect has too many pulses;65:general checksum failure;66:general memory failure;67:special memory failure;68:data memory failure;69:program memory failure;70:calibration / parameter memory failure;71:watchdog / safety µC failure;72:supervision software failure;73:internal electronic failure;74:incorrect component installed;75:over temperature;81:not programmed;82:not activated;83:deactivated;84:missing calibration;85:not configured;97:signal calculation failure;98:signal compare failure;99:circuit / component protection time-out;100:signal plausibility failure;101:signal has too few transitions / events;102:signal has too many transitions / events;103:signal incorrect after event;104:event information;113:actuator stuck;114:actuator stuck open;115:actuator stuck closed;116:actuator slipping;117:emergency position not reachable;118:wrong mounting position;119:commanded position not reachable;120:alignment or adjustment incorrect;121:mechanical linkage failure;122:fluid leak or seal failure;123:low fluid level;129:invalid serial data received;130:alive / sequence counter incorrect / not updated;131:value of signal protection calculation incorrect;132:signal below allowable range;133:signal above allowable range;134:signal invalid;135:missing message;136:bus off;143:erratic;145:parametric;146:performance or incorrect operation;147:no operation;148:unexpected operation;149:incorrect assembly;150:component internal failure;151:Component or sys. operation obstructed or blocked;152:component or system over temperature
,77d,44,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType.ManufacturerOrSupplier,
,77d,48,48,1,0,0,,1902FF,5902FF,ff,DTCStatus.warningIndicatorRequested,0:No;1:Yes
,77d,49,49,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedThisMonitoringCycle,0:No;1:Yes
,77d,50,50,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedSinceLastClear,0:No;1:Yes
,77d,51,51,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedSinceLastClear,0:No;1:Yes
,77d,52,52,1,0,0,,1902FF,5902FF,ff,DTCStatus.confirmedDTC,0:No;1:Yes
,77d,53,53,1,0,0,,1902FF,5902FF,ff,DTCStatus.pendingDTC,0:No;1:Yes
,77d,54,54,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedThisMonitoringCycle,0:No;1:Yes
,77d,55,55,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailed,0:No;1:Yes
,77d,16,39,1,0,0,,1904000000FF,5904000000FF,4ff,DTCRecord,
,77d,40,47,1,0,0,,1904000000FF,5904000000FF,ff,StatusOfDTC,
,77d,16,39,1,0,0,,190600000080,590600000080,4ff,DTCRecord,
,77d,40,47,1,0,0,,190600000080,590600000080,ff,StatusOfDTC,
,77d,48,55,1,0,0,,190600000080,590600000080,ff,DTCExtendedDataRecordNumber,
,77d,56,79,1,0,0,km,190600000080,590600000080,ff,DTCExtendedData.Mileage,
,77d,16,39,1,0,0,km,1906000000FF,5906000000FF,ff,DTCExtendedData.Mileage,
,77d,40,47,1,0,0,,1906000000FF,5906000000FF,ff,StatusOfDTC,
,77d,48,55,1,0,0,,1906000000FF,5906000000FF,ff,DTCExtendedDataRecordNumber,
,77d,56,63,1,0,0,,1906000000FF,5906000000FF,ff,DTCExtendedData.DTCOccurrenceCounter,
,77d,16,23,1,0,0,,190A,590A,ff,DTCStatusAvailabilityMask,
,77d,24,39,1,0,0,,190A,590A,ff,DTCDeviceIdentifier,1536:communicationFailure;1588:ECU Temperature;6150:Sensor Unavailable;7568:Sensor HW SW mismatch;20753:Sensor external disturbance freesight;20762:Sensor Interference;21016:External Plausi STA;22060:Tiresize;22346:Sensor Misaligned;23297:Interference Noise;23298:InternalFailure;23299:CAN communication failure;23300:VirginECUorIncompleteConfiguration;23302:AEBSdegradedMode;23304:Alignment default;23317:Data Plausibility;23319:AEBS_AIRBAG_CRASH;41226:System voltage low;41227:System voltage high;41229:Internal voltage low;41377:HW Failure;49168:Busoff CAN;49920:Sensor SW Failure;50198:Invalid Data ESP;50217:Invalid Data SAS;50258:Invalid Data Acceleration;54798:Sensor Internal failure LT
