# SID (defaults to ID.startBit.[responseId]), ID (hex), startBit, endBit, resolution, offset (aplied BEFORE resolution multiplication), decimals, unit, requestID (hex string), responseID (hex string), options (hex, see MainActivity for definitions), optional name, optional list
# 130,44,55,-3,4094,0,Nm,,,ff,DriverBrakeWheelTq_Req
# Note that in the next line the resolution is negated from the original definition, to match 130.44
130.44,810,28,39,-1,4096,0,Nm,224B7E,624B7E,ff,DriverBrakeWheelTq_Req
# 186,40,49,0.125,0,1,%,,,ff,Throttle
186.40,18daf1da,24,39,0.125,0,1,%,22202E,62202E,ff,Accelerator pedal position
# ,1f8,16,27,1,4096,0,Nm,,,ff,TotalPotentialResistiveWheelsTorque
# free frame 1f8.16 is in wheel NM, isotp 22247 in 32's motor torque
1f8.16,18daf1da,24,39,0.29125,32768,0,N.m,222247,622247,ff,Minimum effective torque that can be requested to the electrical motor (EM)
# 1f8,28,39,-1,4096,0,Nm,,,ff,ElecBrakeWheelsTorqueApplied
1f8.28,810,28,39,-1,4096,0,Nm,,,ff,ElecBrakeWheelsTorqueApplied
#  # 1f8,40,50,10,0,0,Rpm,,,ff,ElecEngineRPM
#  1f8.40,7bc,24,39,10,32768,0,0,223045,623045,ff,ElecEngineRPM
# 1fd,0,7,0.390625,0,1,%,,,ff,12V Battery Current?
1fd.0,18daf1da,24,31,1,0,0,A,223025,623025,ff,14V DCDC current measure
# 1fd,48,55,1,80,0,kW,,,ff,Consumption
# Possible to use a virtual computer field here? No, so this really needs to be changed in the code
# 1fd.48,800,24,55,1,0,0,kW,,,ff,Consumption
# 35c,5,7,1,0,0,,,,ff,Vehicle state
35c.5,765,152,159,1,0,0,,210D,610D,ff,Vehicle state
# 427,40,47,0.3,0,0,kW,,,e2,Available Charging Power (UCP)
427.40,18daf1da,24,39,.1,0,1,kW,223470,623470,ff,Available JB2 power for a battery charge
# 427,49,57,0.1,0,1,kWh,,,e2,Available Energy
427.49,18daf1da,24,39,0.005,0,1,kWh,22320C,62320C,ff,Available discharge Energy
# 42a,30,39,0.1,400,1,°C,,,ff,Evaporator Temp Measure
42a.30,764,42,51,0.1,400,1,°C,2144,6144,ff,Evaporator Temp Measure
# 42a,48,50,1,0,0,,,,e2,ClimLoopMode
# 42a.48,764,62,64,1,0,0,-,2144,2144,e2,ClimLoopMode
42a.48,764,21,23,1,0,0,,2167,6167,ff,ILB_HPM_ClimLoopMode,0:Unavailable;1:AC mode;2:AC de-icing mode;3:Not used (100);4:Heat Pump mode;5:Not used (101);6:Demisting mode;7:Idle mode
# 42e,0,12,0.02,0,2,%,,,e3,State of Charge
42e.0,18daf1da,24,39,0.02,0,2,%,222002,622002,ff,State of Charge
# 42e,20,24,5,0,0,%,,,e2,Engine Fan Speed
# 42e.20,18daf1da,24,31,5,0,0,%,223471,613471,e2,Engine Fan Speed
42e.20,18daf1da,24,31,1,0,0,%,22345E,62345E,ff,FAN global request from ETS in PWM including AC, Cooling needs and Relay protection check
# 42e,44,50,1,40,0,°C,,,e3,HV Battery Temp
42e.44,18daf1da,24,31,1,40,0,°C,222001,622001,ff,HV Battery Temp
# 430,38,39,1,0,0,,,,e2,HV Battery Cooling State
430.38,764,168,169,1,0,0,,2144,6144,ff,HV Battery Cooling State
# 430,40,49,0.1,400,1,°C,,,e2,HV Battery Evaporator Temp
430.40,764,150,159,0.1,400,1,°C,2121,6121,ff,HV Battery Evaporator Temp
# 432,36,37,1,0,0,,,,e2,HV Bat Conditionning Mode
432.36,764,133,134,1,0,0,,2144,6144,ff,HV Bat Conditionning Mode
# Note that 5d7.0 is best always present as it is used for safe driving mode
# 5d7,0,15,0.01,0,2,km/h,,,ff,Speed
5d7.0,18daf1da,24,39,0.01,0,2,km/h,222003,622003,ff,Speed
#
#,62d,0,9,0.1,0,0,kWh/100km,,,ff,Worst Average Consumption
62d.0,18daf1da,24,39,.001953125,0,3,kW,223457,623457,ff,Mean pessimistic electrical consumption (worst possible consumption)
#,62d,10,19,0.1,0,0,kWh/100km,,,ff,Best Average Consumption
62d.10,18daf1da,24,39,.001953125,0,3,kW,223455,623455,ff,Mean eco electrical consumption (if driver has economical driving behavior)
#,654,52,61,0.1,0,1,kWh/100km,,,ff,Average Consumption
654.52,18daf1da,24,47,0.00000762939453125,0,3,kWh/km,223478,623478,ff,Raw mean consumption per unit of distance
#
# 638,37,39,1,0,0,,,,ff,Battery 14v To Be Changed Display
638.37,18daf1da,29,31,1,0,0,,223486,623486,ff,Battery 14v To Be Changed Display
# 654,2,2,1,0,0,,,,ff,Charging Plug Connected
654.2,18daf1da,31,31,1,0,0,,22339D,62339D,ff,Charging Plug detected as present by the Charger.processed,0:No charging plug;1:Charging plug detected
# 654,42,51,1,0,0,km,,,ff,Available Distance
654.42,18daf1da,24,39,1,0,0,km,223451,623451,ff,Estimated kilometric cruising range sent to MMI
# 656,48,55,1,40,0,°C,,,e2,External Temp
656.48,763,110,117,1,40,0,°C,2143,6143,ff,External Temp
# 658,33,39,1,0,0,%,,,ff,Battery Health
658.33,18daf1db,72,79,0.5,0,0,%,2161,6161,ff,Battery Health
# 673,0,0,1,0,0,,,,ff,Speed pressure misadaptation
673.0,765,66,66,1,0,0,,2174,6174,ff,SpeedPressureMisadaptation
# 673,2,4,1,0,0,,,,ff,Rear right wheel state
673.2,765,72,74,1,0,0,,2174,6174,ff,RearRightWheelState
# 673,5,7,1,0,0,,,,ff,Rear left wheel state
673.5,765,80,82,1,0,0,,2174,6174,ff,RearLeftWheelState
# 673,8,10,1,0,0,,,,ff,Front right wheel state
673.8,765,88,90,1,0,0,,2174,6174,ff,FrontRightWheelState
# 673,11,13,1,0,0,,,,ff,Front left wheel state
673.11,765,96,98,1,0,0,,2174,6174,ff,FrontLeftWheelState
# 673,16,23,13.725,0,0,mbar,,,ff,Rear right wheel pressure
673.16,765,112,119,13.725,0,0,mbar,2174,6174,ff,RearRightWheelPressure
# 673,24,31,13.725,0,0,mbar,2174,6174,ff,Rear left wheel pressure
673.24,765,120,127,13.725,0,0,mbar,2174,6174,ff,RearLeftWheelPressure
# 673,32,39,13.725,0,0,mbar,2174,6174,ff,Front right wheel pressure
673.32,765,128,135,13.725,0,0,mbar,2174,6174,ff,FrontRightWheelPressure
# 673,40,47,13.725,0,0,mbar,2174,6174,ff,Front left wheel pressure
673.40,765,136,143,13.725,0,0,mbar,2174,6174,ff,FrontLeftWheelPressure
# ESC #
760.6180.56,18daf12d,56,63,1,0,0,,2180,6180,ff,diagVersion
760.6180.64,18daf12d,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
760.6180.128,18daf12d,128,143,1,0,0,,2180,6180,ff,Soft
760.6180.144,18daf12d,144,159,1,0,0,,2180,6180,ff,Version
760.54.0.,18daf12d,0,7,1,0,0,,14ffff,54,ff,Reset DTC
760.5902ff.0.,18daf12d,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# EPS #
,762,56,63,1,0,0,,2180,6180,ff,diagVersion
,762,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,762,128,143,1,0,0,,2180,6180,ff,Soft
,762,144,159,1,0,0,,2180,6180,ff,Version
,762,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,762,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# CLUSTER #
,763,56,63,1,0,0,,2180,6180,ff,diagVersion
,763,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,763,128,143,1,0,0,,2180,6180,ff,Soft
,763,144,159,1,0,0,,2180,6180,ff,Version
,763,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,763,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# CLIM #
,764,26,35,0.1,400,1,°C,2121,6121,ff,IH_InCarTemp
,764,36,43,1,0,0,%,2121,6121,ff,IH_RHumidity
,764,86,87,1,0,0,,2143,6143,ff,IH_EcoModeRequest,0:Unavailable Value;1:Eco mode requested;2:Eco mode not requested;3:Not used
,764,88,92,100,0,0,W,2143,6143,ff,IH_ElectricalPowerDrived
,764,110,117,1,40,0,°C,2143,6143,ff,IH_ExternalTemp
,764,134,142,.1,0,1,bar,2143,6143,ff,IH_ACHighPressureSensor
,764,107,116,10,0,0,rpm,2144,6144,ff,IH_ClimCompRPMStatus
,764,29,36,1,0,0,,2145,6145,ff,OH_ClimTempDisplay
,764,21,23,1,0,0,,2167,6167,ff,ILB_HPM_ClimLoopMode,0:Unavailable;1:AC mode;2:AC de-icing mode;3:Not used (100);4:Heat Pump mode;5:Not used (101);6:Demisting mode;7:Idle mode
,764,40,41,1,0,0,,2167,6167,ff,IH_ExternalTemp
,764,56,63,1,0,0,,2180,6180,ff,diagVersion
,764,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,764,128,143,1,0,0,,2180,6180,ff,Soft
,764,144,159,1,0,0,,2180,6180,ff,Version
,764,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,764,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# BCM #
,765,56,63,1,0,0,,2180,6180,ff,diagVersion
,765,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,765,128,143,1,0,0,,2180,6180,ff,Soft
,765,144,159,1,0,0,,2180,6180,ff,Version
,765,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,765,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
,765,16,16,1,0,0,,2171,6171,ff,PRESENCE_SSPP,0:without;1:with
,765,24,47,1,0,0,,2171,6171,ff,TPMS
,765,48,71,1,0,0,,2171,6171,ff,TPMS
,765,72,95,1,0,0,,2171,6171,ff,TPMS
,765,96,119,1,0,0,,2171,6171,ff,TPMS
# USM #
,76d,56,63,1,0,0,,2180,6180,ff,diagVersion
,76d,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,76d,128,143,1,0,0,,2180,6180,ff,Soft
,76d,144,159,1,0,0,,2180,6180,ff,Version
,76d,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,76d,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
,76d,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# Parking Sonar #
,76e,56,63,1,0,0,,2180,6180,ff,diagVersion
,76e,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,76e,128,143,1,0,0,,2180,6180,ff,Soft
,76e,144,159,1,0,0,,2180,6180,ff,Version
,76e,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,76e,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# AIBAG-SRS #
,772,56,63,1,0,0,,2180,6180,ff,diagVersion
,772,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,772,128,143,1,0,0,,2180,6180,ff,Soft
,772,144,159,1,0,0,,2180,6180,ff,Version
,772,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,772,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
# INV_ME
,18daf1df,56,63,1,0,0,,2180,6180,ff,diagVersion
,18daf1df,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
,18daf1df,128,143,1,0,0,,2180,6180,ff,Soft
,18daf1df,144,159,1,0,0,,2180,6180,ff,Version
,18daf1df,0,7,1,0,0,,14ffff,54,ff,Reset DTC
,18daf1df,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
77e.623025.24,18daf1df,24,39,0.015625,15256,2,Nm,222002,622002,ff,Emotor torque estimation based on measured values
# BCB
793.5081.0,18daf1de,0,0,1,0,0,,1081,5081,ff,start diag
793.50c0.0,18daf1de,0,0,1,0,0,,10c0,50c0,ff,start diag
793.7e01.0,18daf1de,0,0,1,0,0,,3e01,7e01,ff,Tester present
793.6180.56,18daf1de,56,63,1,0,0,,2180,6180,ff,diagVersion
793.6180.64,18daf1de,64,87,1,0,0,,2180,6180,2ff,Supplier (string!)
793.6180.128,18daf1de,128,143,1,0,0,,2180,6180,ff,Soft
793.6180.144,18daf1de,144,159,1,0,0,,2180,6180,ff,Version
793.54.0,18daf1de,0,7,1,0,0,,14ffff,54,ff,Reset DTC
793.5902ff.0,18daf1de,0,23,1,0,0,,19023b,5902ff,ff,Query DTC
793.625057.24,18daf1de,24,39,0.0625,32768,2,mA,225057,625057,ff,DataRead.Raw leakage current - DC part measurement
793.625058.24,18daf1de,24,39,0.0625,32768,2,mA,225058,625058,ff,DataRead.Raw leakage current - High Frequency 10kHz part measurement
793.625059.24,18daf1de,24,39,0.0625,32768,2,mA,225059,625059,ff,DataRead.Raw leakage current - High Frequency 1st part measurement
793.62505a.24,18daf1de,24,39,0.0625,32768,2,mA,22505a,62505a,ff,DataRead.Raw leakage current - Low Frequency part measurement (50Hz)
793.622001.24,18daf1de,24,39,.0625,3200,2,A,222001,622001,ff,Mains phase 1 current RMS value
793.625026.24,18daf1de,24,31,1,0,1,%,225026,625026,ff,J1772 control pilot raw duty cycle
