,7B9,0,0,1,0,0,,1001,5001,ff,StartDiagnosticSession.DefaultSession
,7B9,0,0,1,0,0,,1002,5002,ff,StartDiagnosticSession.ProgrammingSession
,7B9,0,0,1,0,0,,1003,5003,ff,StartDiagnosticSession.ExtendedDiagnosticSession
,7B9,0,0,1,0,0,,14FFFFFF,54FFFFFF,ff,ClearDiagnosticInformation.All
,7B9,16,23,1,0,0,,1901FF,5901FF,ff,DTCStatusAvailabilityMask
,7B9,24,31,1,0,0,,1901FF,5901FF,ff,DTCFormatIdentifier
,7B9,32,47,1,0,0,,1901FF,5901FF,ff,DTCCount
,7B9,16,23,1,0,0,,1902FF,5902FF,ff,DTCStatusAvailabilityMask
,7B9,24,39,1,0,0,,1902FF,5902FF,ff,DTCDeviceIdentifier,41049:APC_STATUS_BCM;41056:APC_STATUS_USM;41072:BCM_APV_CODE;57679:CAN_BCM;57664:CAN_ECM;57681:CAN_ESCL;57678:CAN_METER;57691:CAN_USM;57672:CAN_VDC;41011:DONGLE;41030:EEPROM;41042:ESCL_FUNCTION;41046:ESCL_HFM_RELAY;41048:ESCL_LOCK_SEQUENCE;41041:ESCL_MODULE;41044:ESCL_SENSOR_LINE;41040:ESCL_SUPPLY;41047:ESCL_UNLOCK_SEQUENCE;41094:IKEY_BACKDOOR_SWITCH;41089:IKEY_FL_SWITCH;41091:IKEY_FR_SWITCH;41092:IKEY_RL_SWITCH;41093:IKEY_RR_SWITCH;41020:INT_ANTENNA;41104:KAZASHI;41022:LEFT_ANTENNA;41025:LF3_ANTENNA;41043:NOT_APC_LINE;40976:PWR_ECU;41024:REAR_ANTENNA;40962:REGISTERS;41023:RIGHT_ANTENNA;40961:ROM;41088:START_BUTTON;41021:TRUNK_ANTENNA
,7B9,40,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType,68:data memory failure;98:signal compare failure;99:circuit / component protection time-out;100:signal plausibility failure;101:signal has too few transitions / events;97:signal calculation failure;103:signal incorrect after event;81:not programmed;113:actuator stuck;114:actuator stuck open;69:program memory failure;85:not configured;84:missing calibration;82:not activated;75:over temperature;74:incorrect component installed;73:internal electronic failure;72:supervision software failure;71:watchdog / safety µC failure;70:calibration / parameter memory failure;115:actuator stuck closed;135:missing message;83:deactivated;67:special memory failure;152:component or system over temperature;151:Component or system operation obstructed or blocked;150:component internal failure;149:incorrect assembly;148:unexpected operation;147:no operation;146:performance or incorrect operation;145:parametric;143:erratic;136:bus off;133:signal above allowable range;134:signal invalid;116:actuator slipping;132:signal below allowable range;131:value of signal protection calculation incorrect;130:alive / sequence counter incorrect / not updated;129:invalid serial data received;123:low fluid level;122:fluid leak or seal failure;121:mechanical linkage failure;120:alignment or adjustment incorrect;119:commanded position not reachable;118:wrong mounting position;117:emergency position not reachable;102:signal has too many transitions / events;15:Vehicle manufacturer / System supplier specific;27:circuit resistance above threshold;26:circuit resistance below threshold;25:circuit current above threshold;24:circuit current below threshold;23:circuit voltage above threshold;22:circuit voltage below threshold;21:circuit short to battery or open;20:circuit short to ground or open;19:circuit open;28:circuit voltage out of range;17:circuit short to ground;9:Component Failures;8:Bus Signal / Message Failures;6:Algorithm Based Failures;5:System Programming Failures;4:System Internal Failures;3:FM (Frequency Modulated) / PWM (Pulse Width Modulated) Failures;2:General signal failure;1:General Electrical Failure;0:Device and failure type ODB codding/ General Failure Information;66:general memory failure;104:event information;18:circuit short to battery;53:signal high time > maximum;65:general checksum failure;58:incorrect has too many pulses;7:Mechanical Failures;29:circuit current out of range;57:incorrect has too few pulses;56:signal frequency incorrect;54:signal frequency too low;52:signal high time < minimum;51:signal low time > maximum;50:signal low time < minimum;49:no signal;37:signal shape / waveform failure;33:signal amplitude < minimum;55:signal frequency too high;47:signal erratic;31:circuit intermittent;35:signal stuck low;36:signal stuck high;34:signal amplitude > maximum;30:circuit resistance out of range;38:signal rate of change below threshold;39:signal rate of change above threshold;40:signal bias level out of range / zero adjustment failure;41:signal signal invalid
,7B9,44,47,1,0,0,,1902FF,5902FF,ff,DTCFailureType.ManufacturerOrSupplier
,7B9,48,48,1,0,0,,1902FF,5902FF,ff,DTCStatus.warningIndicatorRequested,0:No;1:Yes
,7B9,49,49,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedThisMonitoringCycle,0:No;1:Yes
,7B9,50,50,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedSinceLastClear,0:No;1:Yes
,7B9,51,51,1,0,0,,1902FF,5902FF,ff,DTCStatus.testNotCompletedSinceLastClear,0:No;1:Yes
,7B9,52,52,1,0,0,,1902FF,5902FF,ff,DTCStatus.confirmedDTC,0:No;1:Yes
,7B9,53,53,1,0,0,,1902FF,5902FF,ff,DTCStatus.pendingDTC,0:No;1:Yes
,7B9,54,54,1,0,0,,1902FF,5902FF,ff,DTCStatus.testFailedThisMonitoringCycle,0:No;1:Yes
